"skyblue3"	"thistle2"	"lightgreen"	"lightcyan"	"pink"	"grey"	"darkred"	"brown"	"lavenderblush3"	"tan"	"green"	"midnightblue"	"darkgreen"	"mediumpurple3"	"skyblue"	"orange"	"yellow"	"navajowhite2"	"coral1"	"magenta"	"cyan"	"grey60"	"floralwhite"	"plum2"	"antiquewhite4"	"steelblue"	"thistle1"	"royalblue"	"darkorange"	"plum1"	"darkseagreen4"	"darkorange2"	"darkmagenta"	"lightpink4"	"honeydew1"	"palevioletred3"	"paleturquoise"	"sienna3"	"darkslateblue"	"bisque4"	"greenyellow"	"ivory"	"darkturquoise"	"brown4"	"darkgrey"	"blue"	"salmon"	"coral2"	"violet"	"lightcyan1"	"white"	"lightsteelblue1"	"maroon"	"darkolivegreen"
"Astrocyte"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6.10270600622285e-05	1	1	1	1	1	1	1	1	1	1	1	1	0.000660077942676361	1	1	1	1	1	1	1	1	1	1	1	1	1
"Bcells"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"CA1_Pyramidal"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0167168354200031	1	1	0.00103926990839319	0.00386216729492763	1	1	1	1	1	1	1	1
"CA1.Pyramidal"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0167168354200031	1	1	0.00103926990839319	0.00386216729492763	1	1	1	1	1	1	1	1
"CD8Tcells"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Cerebellum_Basket_Neuroexpresso"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Cerebellum_Bergmann_Neuroexpresso"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0140792530466151	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Cerebellum_Golgi_Neuroexpresso"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Cerebellum_Granule_Neuroexpresso"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Cerebellum_Microglia_Neuroexpresso"	1	1	2.32564225694961e-21	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2.47553074525935e-13	1	1	1	0.0137954324014514	1
"Cerebellum_MicrogliaActivation_Neuroexpresso"	1	1	1.04149232907136e-12	1	1	1	1	1	1	1	1	1	1	4.92526979877065e-08	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.00830906433196732	1	1	1	1	1
"Cerebellum_MicrogliaDeactivation_Neuroexpresso"	1	1	4.68905988201515e-12	1	1	1	1	1	1.89479274603538e-09	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.11107005931003e-08	1	1	1	1	1
"Cerebellum_Oligo_Neuroexpresso"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.00139212073396671	1	1	1	1	1	1	1	1	1	1	1	1	3.73037768047543e-15	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
