"red"	"sienna3"	"lightgreen"	"royalblue"	"cyan"	"skyblue3"	"white"	"grey60"	"greenyellow"	"darkgrey"	"ivory"	"magenta"	"darkturquoise"	"midnightblue"	"pink"	"purple"	"paleturquoise"	"orange"	"green"	"blue"	"lightyellow"	"darkmagenta"	"lightsteelblue1"	"saddlebrown"	"steelblue"	"orangered4"	"darkred"	"salmon"	"yellow"	"black"	"darkgreen"	"tan"	"plum1"	"lightcyan"	"turquoise"	"yellowgreen"	"mediumpurple3"	"violet"	"darkorange"	"skyblue"	"darkolivegreen"	"brown"	"lightcyan1"
"Astrocyte"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	8.4718717110828e-24	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Bcells"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"CA1_Pyramidal"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0271573232246527	1	1	1	1
"CA1.Pyramidal"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0271573232246527	1	1	1	1
"CD8Tcells"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Cerebellum_Basket_Neuroexpresso"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Cerebellum_Bergmann_Neuroexpresso"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2.78970228650998e-06	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Cerebellum_Golgi_Neuroexpresso"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Cerebellum_Granule_Neuroexpresso"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Cerebellum_Microglia_Neuroexpresso"	1	1	2.84932790359893e-42	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Cerebellum_MicrogliaActivation_Neuroexpresso"	1	1	1.32348448055097e-10	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.17208232350192e-05	1	1	1	1	0.00129043079757223	1	1	1	1	1	1	1	1	0.0498077914130533	1	1	1	1	1.00489588006055e-06	1	1
